gene name,MW
b0001,20.2539474
b0002,762.3069992
b0003,289.4739648
b0004,398.6247406
b0005,91.7374515
b0006,240.3051922
b0007,441.9687264
b0008,295.2501708
b0009,182.3190085
b0010,175.0692096
b0011,221.3730808
b0013,124.8827026
b0014,593.5516001
b0015,351.0294203
b0016,344.5544416
b0018,65.1835469
b0019,361.4125943
b0020,280.3477221
b0021,156.2664666
b0022,85.0111292
b0023,81.5621753
b0024,67.6550569
b0025,292.0157588
b0026,872.2309202
b0027,153.08825
b0028,139.1315048
b0029,295.2698345
b0030,282.5014992
b0031,255.3264296
b0032,354.8519837
b0033,998.0119294
b0034,123.1326199
b0035,183.6577463
b0036,243.7581121
b0037,481.0523997
b0038,376.2917558
b0039,354.4926213
b0040,467.8544741
b0041,238.6480657
b0042,291.5685155
b0043,399.0628383
b0044,89.5468989
b0045,412.3979029
b0046,164.1023574
b0047,578.2503317
b0048,148.7977648
b0049,261.1510586
b0050,116.6522995
b0051,253.940681
b0052,305.8874207
b0053,398.1176565
b0054,727.48758
b0055,253.5613672
b0058,204.9774784
b0059,899.2311953
b0060,727.1155497
b0061,214.9388795
b0062,464.4605014
b0063,525.8411258
b0064,271.9520211
b0065,237.6337799
b0066,216.9188562
b0067,498.0578541
b0068,304.3468753
b0069,511.4594585
b0070,365.8556766
b0071,187.5114369
b0072,433.3969064
b0073,337.707869
b0074,486.299866
b0075,26.7770694
b0076,292.2594544
b0077,534.9344025
b0078,152.6142289
b0080,310.7466215
b0081,142.2546079
b0082,291.5955097
b0083,113.534393
b0084,547.3193105
b0085,461.918644
b0086,420.5815999
b0087,335.2228525
b0088,408.4467677
b0089,385.5579473
b0090,331.7999535
b0091,457.3028639
b0092,286.3023046
b0093,258.0203215
b0094,392.6340311
b0095,357.6565506
b0096,283.6235576
b0097,157.8935319
b0098,838.3462762
b0099,121.365409
b0101,61.5032246
b0102,229.6451817
b0103,191.9872628
b0104,323.3068025
b0106,372.4962238
b0107,428.071502
b0108,136.2217435
b0109,276.3190145
b0110,170.7855758
b0111,265.0483328
b0112,425.2133307
b0113,236.2453257
b0114,823.8106654
