gene,EC_number
b0002,EC2.7.2.4 EC1.1.1.3
b0003,EC2.7.1.39
b0004,EC4.2.3.1
b0008,EC2.2.1.2
b0009,EC2.7.7.75
b0025,EC2.7.1.26 EC2.7.7.2
b0026,EC6.1.1.5
b0029,EC1.17.7.4
b0030,EC3.2.-.-
b0031,EC1.17.1.8
b0032,EC6.3.5.5
b0033,EC6.3.5.5
b0036,EC4.2.1.149
b0037,EC6.2.1.48
b0038,EC2.8.3.21
b0048,EC1.5.1.3
b0049,EC3.6.1.41
b0052,EC1.1.1.262
b0061,EC5.1.3.4
b0062,EC5.3.1.4
b0063,EC2.7.1.16
b0066,EC7.6.2.15
b0071,EC4.2.1.33 EC4.2.1.35
b0072,EC4.2.1.33 EC4.2.1.35
b0073,EC1.1.1.85
b0074,EC2.3.3.13
b0077,EC2.2.1.6
b0078,EC2.2.1.6
b0084,EC3.4.16.4
b0085,EC6.3.2.13
b0086,EC6.3.2.10
b0087,EC2.7.8.13
b0088,EC6.3.2.9
b0090,EC2.4.1.227
b0091,EC6.3.2.8
b0092,EC6.3.2.4
b0096,
b0099,EC3.6.1.55
b0103,EC2.7.1.24
b0104,EC1.7.1.7
b0109,EC2.4.2.19
b0110,EC3.5.1.28
b0114,EC1.2.4.1
b0115,EC2.3.1.12
b0116,EC1.8.1.4
b0118,EC4.2.1.3 EC4.2.1.99
b0120,EC4.1.1.50
b0121,EC2.5.1.16
b0124,EC1.1.5.2
b0125,EC2.4.2.8
b0126,EC4.2.1.1
b0131,EC4.1.1.11
b0133,EC6.3.2.1
b0134,EC2.1.2.11
b0142,EC2.7.6.3
b0149,EC2.4.1.129 EC3.4.16.4
b0151,EC7.2.2.16
b0154,EC5.4.3.8
b0159,EC3.2.2.9
b0160,EC3.1.5.1
b0166,EC2.3.1.117
b0171,EC2.7.4.22
b0173,EC1.1.1.267
b0174,EC2.5.1.31
b0175,EC2.7.7.41
b0179,
b0180,
b0181,EC2.3.1.129
b0182,EC2.4.1.182
b0185,EC6.4.1.2 EC2.1.3.15
b0186,EC4.1.1.18
b0194,EC6.1.1.15
b0200,EC3.1.3.82 EC3.1.3.83
b0207,EC1.1.1.346
b0212,EC3.1.2.6
b0221,EC1.3.99.-
b0222,EC5.3.1.28
b0237,EC3.4.13.-
b0238,EC2.4.2.22
b0242,EC2.7.2.11
b0243,EC1.2.1.41
b0261,EC2.1.1.10
b0273,EC2.1.3.3
b0311,EC1.1.99.1
b0312,EC1.2.1.8
b0323,EC2.7.2.2
b0331,EC4.1.3.30
b0333,EC2.3.3.5
b0334,EC4.2.1.79
b0337,EC3.5.4.1 EC3.5.4.21
b0339,EC4.2.1.1
b0340,EC4.2.1.104
b0344,EC3.2.1.23
b0347,EC1.14.13.127
b0348,EC1.13.11.16
b0349,EC3.7.1.14
b0350,EC4.2.1.80
b0351,EC1.2.1.10
b0352,EC4.1.3.39
b0355,EC3.1.2.12
b0356,EC1.1.1.284 EC1.1.1.1
b0366,EC7.6.2.7
b0368,EC1.14.11.17
b0369,EC4.2.1.24
b0381,EC6.3.2.4
b0383,EC3.1.3.1
b0386,EC1.5.1.2
b0388,EC2.7.1.71
b0394,EC2.7.1.4
b0403,EC3.2.1.20
b0404,EC3.1.4.14
b0414,EC3.5.4.26 EC1.1.1.193
b0415,EC2.5.1.78
b0417,EC2.7.4.16
b0418,EC3.1.3.27
b0420,EC2.2.1.7
b0421,EC2.5.1.1 EC2.5.1.10
b0423,EC2.8.1.4
b0425,EC1.1.1.169
b0428,EC2.5.1.141
b0431,EC7.1.1.3
b0432,EC7.1.1.3
b0444,EC6.3.4.20
b0446,EC3.6.1.-
b0452,EC3.1.2.-
b0459,EC2.3.1.79
b0469,EC2.4.2.7
b0474,EC2.7.4.3
b0475,EC4.99.1.1 EC4.99.1.9
b0477,EC2.7.1.73
b0480,EC3.1.3.5 EC3.6.1.45
b0484,EC7.2.2.8
b0485,EC3.5.1.2
b0494,EC3.1.2.- EC3.1.2.2 EC3.1.1.2 EC3.1.1.5
b0505,EC4.3.2.3
b0507,EC4.1.1.47
b0508,EC5.3.1.22
b0509,EC1.1.1.60
b0512,EC3.5.2.5
b0514,EC2.7.1.165
b0516,EC3.5.3.9
b0517,EC1.1.1.350
b0521,EC2.7.2.2
b0522,EC6.3.4.18
b0523,EC5.4.99.18
b0524,EC3.6.1.54
b0526,EC6.1.1.16
b0529,EC1.5.1.5 EC3.5.4.9
b0578,EC1.-.-.- EC1.5.1.34
b0583,EC6.3.2.14 EC2.7.8.-
b0585,EC3.1.1.108
b0586,EC6.3.2.14
b0588,EC7.2.2.17
b0593,EC5.4.4.2
b0594,EC6.3.2.14 EC2.7.7.58
b0595,EC3.3.2.1 EC6.3.2.14
b0596,EC1.3.1.28
b0613,EC2.4.2.52
b0614,EC2.7.7.61
b0615,EC2.8.3.10
b0616,EC4.1.3.34
b0622,EC2.3.1.251
b0628,EC2.8.1.8
b0630,EC2.3.1.181
b0632,EC3.4.16.4
b0635,EC3.4.16.4
b0638,EC3.1.3.73
b0639,EC2.7.7.18
b0642,EC6.1.1.4
b0651,EC3.2.-.-
b0652,EC7.4.2.1
b0657,EC2.3.1.269
b0662,EC1.14.99.60
b0674,EC6.3.5.4
b0677,EC3.5.1.25
b0678,EC3.5.99.6
b0679,EC2.7.1.193
b0680,EC6.1.1.18
b0688,EC5.4.2.2
b0693,EC4.1.1.17
b0697,EC7.2.2.6
b0720,EC2.3.3.1
b0723,EC1.3.5.1 EC1.3.5.4
b0724,EC1.3.5.1 EC1.3.5.4
b0726,EC1.2.4.2
b0727,EC2.3.1.61
b0728,EC6.2.1.5
b0729,EC6.2.1.5
b0731,EC2.7.1.195
b0732,EC3.2.1.170
b0733,EC7.1.1.7
b0734,EC7.1.1.7
b0736,EC3.1.2.-
b0750,EC2.5.1.72
b0754,EC2.5.1.54
b0755,EC5.4.2.11
b0756,EC5.1.3.3
b0757,EC2.7.1.6
b0758,EC2.7.7.12
b0759,EC5.1.3.2
b0765,EC7.3.2.5
b0767,EC3.1.1.31
b0774,EC2.6.1.62
b0775,EC2.8.1.6
b0776,EC2.3.1.47
b0777,EC2.1.1.197
b0778,EC6.3.3.3
b0781,EC4.1.99.22
b0783,EC4.6.1.17
b0785,EC2.8.1.12
